工厂,产品名称,产品规格,月份,产量(盒),费用类别,单位费用(元/盒),费用总额(元)
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,折旧费,0.53,57240.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,动力费(水电气),0.4,43200.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,人工(间接),0.32,34560.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,检验费,0.17,18360.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-09,108000,其他制造费用,0.17,18360.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,折旧费,0.56,56000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,动力费(水电气),0.44,44000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,人工(间接),0.35,35000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,检验费,0.18,18000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-10,100000,其他制造费用,0.18,18000.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,折旧费,0.54,57240.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,动力费(水电气),0.42,44520.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,人工(间接),0.33,34980.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,检验费,0.18,19080.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-11,106000,其他制造费用,0.17,18020.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,折旧费,0.55,61600.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,动力费(水电气),0.45,50400.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,人工(间接),0.34,38080.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,检验费,0.19,21280.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2026-12,112000,其他制造费用,0.18,20160.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,折旧费,1.04,37440.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,动力费(水电气),0.71,25560.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,人工(间接),0.58,20880.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,检验费,0.35,12600.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-07,36000,其他制造费用,0.34,12240.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,折旧费,1.05,39900.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,动力费(水电气),0.73,27740.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,人工(间接),0.59,22420.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,检验费,0.35,13300.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-08,38000,其他制造费用,0.35,13300.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,折旧费,1.03,43260.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,动力费(水电气),0.7,29400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,人工(间接),0.57,23940.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,检验费,0.34,14280.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-09,42000,其他制造费用,0.34,14280.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,折旧费,1.06,41340.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,动力费(水电气),0.75,29250.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,人工(间接),0.6,23400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,检验费,0.36,14040.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-10,39000,其他制造费用,0.35,13650.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,折旧费,1.04,42640.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,动力费(水电气),0.72,29520.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,人工(间接),0.58,23780.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,检验费,0.35,14350.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-11,41000,其他制造费用,0.34,13940.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,折旧费,1.05,46200.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,动力费(水电气),0.76,33440.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,人工(间接),0.6,26400.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,检验费,0.36,15840.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2026-12,44000,其他制造费用,0.35,15400.0
